,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
64,0.882,3.3926754e-06,5.721183,4.576605,6.7198997,7.7916408,4.7262173,19.445402
65,0.89425004,3.2986732e-06,5.656356,4.526243,6.641625,7.6970873,4.673129,19.245659
66,0.90650004,3.072877e-06,5.495519,4.399158,6.4502983,7.458486,4.5391636,18.741613
67,0.91875005,2.9085568e-06,5.371914,4.3006573,6.304114,7.290327,4.43533,18.35094
68,0.93100005,2.833413e-06,5.313047,4.2537465,6.2344937,7.227123,4.3858795,18.164883
69,0.94325006,2.8089798e-06,5.293568,4.2382236,6.211457,7.2062087,4.3695164,18.103315
70,0.95550007,2.7453893e-06,5.2420654,4.1971817,6.1505466,7.1509113,4.3262525,17.940536
71,0.9677501,2.6777216e-06,5.1859345,4.152451,6.0900784,7.090645,4.2791004,17.763126
72,0.98,2.5814284e-06,5.1038575,4.086811,6.0065417,7.002206,4.2099066,17.502783
73,0.99225,2.443065e-06,5.004611,4.00473,5.8808875,6.869177,4.126644,17.11118
74,1.0045,2.291753e-06,4.889425,3.913964,5.735052,6.714782,4.0356307,16.656681
75,1.0167501,2.08643e-06,4.7203226,3.7807124,5.520955,6.48812,3.9020162,15.989443
76,1.029,1.9213544e-06,4.571829,3.6636999,5.346723,6.2890806,3.784685,14.882299
77,1.04125,1.7820441e-06,4.4491982,3.5601413,5.189978,6.1073194,3.6775393,13.447504
78,1.0535,1.8549465e-06,4.513909,3.6143572,5.273474,6.204141,3.7346144,14.211801
79,1.06575,1.799176e-06,4.4646387,3.573078,5.2099013,6.1304226,3.691158,13.629876
80,1.0780001,1.7206988e-06,4.3926597,3.5127726,5.1170273,6.022726,3.6276724,12.779736
81,1.09025,1.6683714e-06,4.3428187,3.4710145,5.0584626,5.9481525,3.5837123,12.534535
82,1.1025001,1.5921823e-06,4.267378,3.4078088,4.972961,5.835276,3.5171733,12.449471
83,1.11475,1.5044786e-06,4.175932,3.3311934,4.8693194,5.698453,3.4365177,12.346361
84,1.1270001,1.4372029e-06,4.1020985,3.2693346,4.78564,5.5879817,3.3713965,12.263111
85,1.13925,1.3488427e-06,4.0067353,3.1835358,4.669575,5.434758,3.281073,12.147641
86,1.1515001,1.2853715e-06,3.937626,3.1183605,4.5814095,5.318365,3.212461,12.059927
87,1.16375,1.2134419e-06,3.8550572,3.0431395,4.4760733,5.1952896,3.133795,11.955131
88,1.176,1.1392024e-06,3.7645366,2.9772544,4.364008,5.0844784,3.0682788,11.840241
89,1.1882501,1.0885099e-06,3.699271,2.9297512,4.288131,5.004583,3.0210416,11.757406
90,1.2005,1.0543683e-06,3.6535769,2.896493,4.235008,4.948646,2.9879694,11.699411
91,1.2127501,1.033973e-06,3.6255713,2.8761091,4.2024484,4.914363,2.9676998,11.663866
92,1.225,1.082467e-06,3.691289,2.9239414,4.278851,4.9948115,3.0152643,11.747275
93,1.2372501,1.0469591e-06,3.6434677,2.889135,4.2232547,4.9362707,2.9806526,11.686581
94,1.2495,1.0099167e-06,3.5918176,2.8515418,4.163207,4.873043,2.94327,11.621026
95,1.2617501,9.73022e-07,3.5384562,2.812703,4.1011696,4.8077207,2.9046483,11.553299
96,1.274,9.3768244e-07,3.485412,2.774095,4.045763,4.742786,2.8662565,11.485975
97,1.2862501,8.973366e-07,3.4223516,2.7281969,3.9834342,4.665591,2.8206153,11.405939
98,1.2985001,8.612267e-07,3.3670344,2.685333,3.925226,4.593498,2.7779913,11.331194
99,1.31075,8.340039e-07,3.3242123,2.6518126,3.879706,4.5371203,2.7446585,11.272741
100,1.3230001,8.0661755e-07,3.2797,2.6169693,3.8323896,4.478518,2.7100103,11.211982
101,1.33525,7.8491075e-07,3.2433314,2.5885007,3.7937295,4.4306364,2.681701,11.162339
102,1.3475001,7.602245e-07,3.200727,2.5551507,3.748441,4.3745456,2.6485376,11.104184
103,1.35975,7.3243956e-07,3.1510892,2.5162954,3.695676,4.309195,2.6098998,11.036428
104,1.3720001,7.141907e-07,3.1174502,2.4899635,3.6599178,4.264908,2.5837152,10.990511
105,1.38425,7.385687e-07,3.1621988,2.5249918,3.7074857,4.3238215,2.6185474,11.051593
106,1.3965001,7.264323e-07,3.1401083,2.5077,3.6840036,4.2947383,2.6013525,11.02144
107,1.40875,7.015177e-07,3.0935822,2.47128,3.6345463,4.2334843,2.5651364,10.9579315
108,1.4210001,6.755603e-07,3.0467129,2.4354897,3.5811129,4.171621,2.526009,10.8893175
109,1.4332501,6.507424e-07,3.007272,2.4000258,3.5280704,4.118275,2.4871678,10.821205
110,1.4455,6.3687116e-07,2.984565,2.3796086,3.4975328,4.087563,2.4648063,10.781992
111,1.4577501,6.2304173e-07,2.9614315,2.3588076,3.4664214,4.0562735,2.4420245,10.742042
112,1.47,5.9856944e-07,2.9192057,2.3208394,3.4096334,3.9991608,2.4004405,10.66912
113,1.4822501,5.7634134e-07,2.879328,2.284983,3.3560033,3.945224,2.3611689,10.600254
114,1.4945,5.512218e-07,2.8323684,2.2427585,3.2948163,3.8817089,2.3149235,10.519157
115,1.5067501,5.2731946e-07,2.7856553,2.2007554,3.2382858,3.8185265,2.2689204,10.40773
116,1.519,5.024982e-07,2.734847,2.1550705,3.1767995,3.749806,2.2188847,10.247382
117,1.5312501,4.80508e-07,2.6876934,2.1126714,3.1197357,3.6860278,2.1724477,10.098567
118,1.5435001,4.5848248e-07,2.6382475,2.0682113,3.0598984,3.61915,2.1237538,9.942518
119,1.5557501,4.7327222e-07,2.6717026,2.098293,3.1003845,3.6643996,2.1567001,10.0481
120,1.5680001,4.5640047e-07,2.6334512,2.0638986,3.0545232,3.6126626,2.1190302,9.927381
121,1.58025,4.409493e-07,2.5971582,2.0354033,3.0186481,3.5635746,2.0884616,9.812842
122,1.5925001,4.303501e-07,2.5715191,2.0211723,2.993304,3.5288963,2.074241,9.731926
123,1.60475,4.2635315e-07,2.5616856,2.0157142,2.9835837,3.5155957,2.0687869,9.7008915
124,1.6170001,4.2151635e-07,2.5496638,2.0090415,2.9717004,3.4993358,2.062119,9.662951
125,1.62925,4.134112e-07,2.5292034,1.9976852,2.9514754,3.471662,2.0507708,9.598379
126,1.6415001,4.0394315e-07,2.5047889,1.9841341,2.9273417,3.4386399,2.0372295,9.521328
127,1.6537501,3.9323413e-07,2.4764748,1.9684184,2.8993535,3.4003437,2.0215251,9.43197
128,1.6660001,3.8662802e-07,2.4586217,1.9585092,2.881706,3.3761964,2.0116231,9.381486
129,1.6782501,3.8007434e-07,2.4406059,1.9485096,2.8638973,3.3518288,2.0016308,9.330979
130,1.6905,3.712473e-07,2.415844,1.9347657,2.8394208,3.3183374,1.9878968,9.26156
131,1.7027501,3.6356496e-07,2.3938093,1.9225354,2.8176394,3.2885342,1.9756752,9.199786
132,1.715,3.6667458e-07,2.4027839,1.9275167,2.8265107,3.3006728,1.9806529,9.224946
133,1.7272501,3.901191e-07,2.4680943,1.9637669,2.8910697,3.3890085,2.016877,9.408042
134,1.7395,3.8981875e-07,2.4672835,1.9633169,2.890268,3.387912,2.0164273,9.405769
135,1.7517501,3.8655054e-07,2.4584107,1.958392,2.8814974,3.375911,2.011506,9.380895
136,1.764,3.8259697e-07,2.4475775,1.9523791,2.8707888,3.3612585,2.0054975,9.350524
137,1.7762501,3.7535273e-07,2.4274325,1.9411979,2.8508759,3.3340116,1.9943243,9.294048
138,1.7885001,3.6862843e-07,2.4083836,1.930625,2.8320463,3.3082469,1.9837589,9.240645
139,1.8007501,3.5883392e-07,2.3800066,1.9148743,2.8039956,3.2698653,1.9680197,9.161091
140,1.8130001,3.474847e-07,2.346139,1.8960762,2.7705178,3.2240574,1.9492352,9.066143
141,1.82525,3.412149e-07,2.326953,1.8854272,2.7515526,3.1981075,1.9385939,9.012357
142,1.8375001,3.3161714e-07,2.2968857,1.8687385,2.7218316,3.15744,1.9219172,8.928063
143,1.84975,3.2215087e-07,2.26828,1.8518002,2.6916656,3.1234484,1.9049911,8.84251
144,1.8620001,3.1083482e-07,2.2358203,1.8308854,2.654418,3.086475,1.8840915,8.736872
145,1.87425,3.0073517e-07,2.2058353,1.8115654,2.6200104,3.0523207,1.8647853,8.639288
146,1.8865001,3.013874e-07,2.2078016,1.8128322,2.6222668,3.0545604,1.8660513,8.645687
147,1.8987501,3.076557e-07,2.2264864,1.8248715,2.6437078,3.0758433,1.8780818,8.706495
148,1.9110001,3.016508e-07,2.2085943,1.8133429,2.623176,3.055463,1.8665615,8.648266
149,1.9232501,2.9696255e-07,2.1943743,1.8041807,2.606859,3.0392659,1.857406,8.601989
150,1.9355001,2.9526933e-07,2.1891837,1.8008362,2.6009026,3.0333536,1.8540639,8.585095
151,1.9477501,2.93264e-07,2.1829996,1.7968516,2.5938063,3.0263095,1.8500822,8.56497
152,1.96,2.9254184e-07,2.1807606,1.795409,2.591237,3.0237591,1.8486406,8.557683
153,1.9722501,2.901438e-07,2.1732879,1.7905941,2.5826623,3.0152473,1.8438292,8.533364
154,1.9845,2.8974253e-07,2.1720328,1.7897855,2.581222,3.0138178,1.843021,8.52928
155,1.9967501,2.8973028e-07,2.171993,1.7897598,2.5811763,3.0137725,1.8429954,8.52915
156,2.009,2.8729198e-07,2.1643226,1.7848175,2.5723746,3.0050354,1.8380567,8.504187
