wavelength fstar fdust
2932.047454580977 1.8460037156592921e-06 0.00022632355287765493
2800.7251898798017 2.0231743042475097e-06 0.00026408465583625015
2675.284663954478 2.217348876648678e-06 0.00031130408833095555
2555.462442031732 2.4301593930324494e-06 0.0003616010519939654
2441.0068882097485 2.663394442431424e-06 0.0004227751461035811
2331.6776370033785 2.9190142743689826e-06 0.0004968420963400195
2227.245088558105 3.1991672828477e-06 0.0005762334969355222
2127.489926472633 3.5062080246884983e-06 0.000674264646747003
2032.2026572175553 3.842717063975916e-06 0.0007838970041427347
1941.183170182788 4.211522627454827e-06 0.0009123932256829775
1854.2403174298654 4.61572438196984e-06 0.0010607772723603176
1771.1915122665412 5.058719484286337e-06 0.0012269582260679346
1691.8623458006516 5.5442311497994615e-06 0.0014239234629999731
1616.0862206680058 6.076339879585169e-06 0.0016424915774698923
1543.7040011650763 6.659517853950956e-06 0.0018989648846725585
1474.5636790517563 7.2986664561726325e-06 0.0021896724274628712
1408.520054322344 7.999157478851776e-06 0.0025214667553615645
1345.4344302743302 8.766878273012233e-06 0.0029085799721060967
1285.1743222346356 9.60828122943538e-06 0.003338395322695364
1227.6131793315888 1.0530438026456031e-05 0.0038399836456048113
1172.6301187283364 1.1541098997508623e-05 0.004400760567636147
1120.1096717595747 1.264875836053789e-05 0.005044564343216831
1069.9415414384441 1.3862725561209255e-05 0.005774648005223295
1022.0203708243611 1.5193273425274033e-05 0.006596717105407903
976.2455217653201 1.6674320663984027e-05 0.0075411353771501315
932.520863550016 1.8300028194256555e-05 0.008593468726466092
890.754571025946 2.0094008511528363e-05 0.009794514133422942
850.8589317595043 2.206358294151482e-05 0.011140850591385485
812.7501618331154 2.422710960305883e-05 0.012655134905930107
776.3482298925477 2.660272313998312e-05 0.014370930688641625
741.5766890749006 2.921159432439977e-05 0.01628235965837581
708.3625164643034 3.20770710192462e-05 0.01844892128753828
676.6359597381571 3.522327967955146e-05 0.020869761421531647
646.3303906818858 3.867948846472237e-05 0.023601522323356224
617.3821652645485 4.24747204768329e-05 0.02666995593242584
589.7304899814674 4.664207325163927e-05 0.030107828903410287
563.3172941831859 5.122032934495485e-05 0.033978764659105085
538.0871081226243 5.626335984558357e-05 0.038287831661643776
513.9869464643377 6.17676656357424e-05 0.043125717314785136
490.9661970112274 6.783133641517146e-05 0.04850599435855533
468.97651441502484 7.449089831551267e-05 0.0545142022607961
447.97171864733633 8.180186575771702e-05 0.06118269296567972
427.9076980180204 8.983580346806176e-05 0.06858893920934538
408.7423165372409 9.865580585063517e-05 0.07677923920463786
390.43532542663957 0.00010834163450749148 0.0858167639890983
372.9482785937992 0.00011898806414573204 0.0958069314760712
356.2444518924875 0.0001306836744234427 0.1067316038629299
340.2887659991171 0.00014349353313363705 0.11871077902804775
325.0477127434635 0.00015758630277883556 0.13182474042623032
310.4892847389246 0.0001730564752807093 0.14601136200343492
296.5829081645415 0.00019005401317030043 0.16135205931995553
283.2993785576189 0.0002087119645197762 0.17797041722997795
270.6107994821009 0.00022924797894829612 0.19576952593875957
258.49052394390554 0.0002517148829512918 0.21475466577693902
246.91309843018456 0.00027641925552064503 0.23456936454519006
235.85420945498186 0.00030356615012312645 0.25474226922309406
225.29063249904203 0.00033336562145434547 0.27559299680890054
215.2001832365274 0.0003661411470773043 0.29721617194826605
205.56167094622484 0.00040200759389834436 0.31947445053476137
196.3548540093982 0.000441665282468539 0.3422152020541781
187.56039740082724 0.0004848131268554777 0.36524148827751174
179.15983208376653 0.0005323768766197591 0.3883386466841898
171.13551622354288 0.0005846249179894975 0.411261636244374
163.47059813834338 0.00064198873766886 0.4337430850947045
156.1489809093854 0.0007049427232315982 0.4554801197770659
149.15528857614447 0.0007740979206757773 0.47616437093817193
142.47483384565447 0.0008500404484742503 0.4954549920362083
136.09358724805847 0.0009333836414802032 0.5130123181206085
129.99814767364109 0.0010248460749176416 0.5284664339475196
124.17571422946628 0.0011254128981180863 0.5414911572280418
118.61405935651324 0.0012356335160565361 0.551768522824508
113.30150315086239 0.001356704403767053 0.5589937739642258
108.22688883499521 0.0014901769965889242 0.5628978680871894
103.37955932770203 0.0016356166798413214 0.5632986090538832
98.74933486339047 0.001795886674228821 0.5600391379289411
94.3264916137922 0.0019716288284501254 0.553038151940638
90.10174126717482 0.00216466678532326 0.5423074332158095
86.06621152217083 0.0023766626403891665 0.527924787576888
82.2114274552611 0.002609960384386999 0.5100782919129898
78.52929372278228 0.0028661703214266252 0.48901610497659825
75.01207756008091 0.003144322251732775 0.46507482080970886
71.65239254211183 0.0034521568745271482 0.43866299601195546
68.44318307137611 0.003789970234382286 0.4102498835722076
65.37770956062259 0.004159452467284534 0.3803420745569563
62.44953427919502 0.004565741016952034 0.34947490602164516
59.65250783330154 0.005011987168249837 0.31818622450100853
56.98075625181383 0.005500926979509402 0.287014393297503
54.42866865047474 0.006037195200928427 0.25645886272826696
51.99088544860917 0.00662728696055556 0.22695564901341309
49.662287113591276 0.007271508200668165 0.19890763794053787
47.437983409431446 0.007980782514089893 0.17263545767653757
45.31330312690388 0.008756794615142349 0.148382941163476
43.283784273647 0.009610696234058967 0.12630650969698584
41.345164703635724 0.010545348621303947 0.10648930948449815
39.493373166346124 0.01157384144609373 0.0889224470413148
37.72452075681566 0.01269377438818348 0.07357765281590725
36.03489274864295 0.013923608423191566 0.06032525829298262
34.42094079277595 0.015275059162924376 0.04904734823027027
32.87927546570559 0.01675654128513535 0.03958273784166806
31.40665915141496 0.0183810024900128 0.03173333419198513
29.99999924213626 0.02015276476755459 0.025274363419348925
