wavelength,flux,uncertainty
7.542447090148926,0.2843190133571625,0.010441711976491212
7.585690021514893,0.30160465836524963,0.009425172093919559
7.6045379638671875,0.297702431678772,0.013441834175439003
7.647780895233154,0.2804953157901764,0.009029024808914859
7.666629791259766,0.29102474451065063,0.012797971479886958
7.709873199462891,0.28413495421409607,0.013302833758263688
7.7287211418151855,0.28185442090034485,0.015570053500229214
7.771964073181152,0.27979275584220886,0.008547938055461096
7.834054946899414,0.2805873453617096,0.008428071190966531
7.896146774291992,0.2791620194911957,0.008498347721763331
7.9582390785217285,0.2638819217681885,0.00834811361925555
7.977087020874023,0.26222988963127136,0.009157891569569929
8.020330429077148,0.2599415183067322,0.008169586586847587
8.039178848266602,0.260833740234375,0.008801954612471028
8.082422256469727,0.26280227303504944,0.008115765521501962
8.101269721984863,0.25842753052711487,0.008569142372489793
8.144513130187988,0.2508935332298279,0.008101799182897588
8.163361549377441,0.25582268834114075,0.008765458345118068
8.206604957580566,0.2526308596134186,0.008220054318555322
8.22545337677002,0.2545623481273651,0.008654130921126628
8.268696784973145,0.25093841552734375,0.008270255437409415
8.287545204162598,0.24777017533779144,0.00807019962578374
8.330788612365723,0.23571330308914185,0.007939773359485773
8.349637031555176,0.23820705711841583,0.007723331470291819
8.3928804397583,0.24203859269618988,0.00811040825113015
8.411728858947754,0.24020026624202728,0.007882729159371138
8.454972267150879,0.234063521027565,0.009437957618044278
8.473820686340332,0.23476721346378326,0.009074673327453722
8.517065048217773,0.2363709658384323,0.009393460757356684
8.535913467407227,0.23533284664154053,0.009533751884751354
8.579156875610352,0.23426778614521027,0.01058851868771076
8.598005294799805,0.22962932288646698,0.009238929266965951
8.64124870300293,0.2222580462694168,0.010173253855084911
8.660097122192383,0.22130410373210907,0.009526383836482761
8.703340530395508,0.21943098306655884,0.0086265368485853
8.722188949584961,0.21831317245960236,0.009673246714521449
8.765433311462402,0.2186756730079651,0.00658403531278501
8.784281730651855,0.21730196475982666,0.007999313783069145
8.82752513885498,0.2154344618320465,0.006389129831205499
8.846373558044434,0.2167150229215622,0.006126581102050311
8.889617919921875,0.2186027318239212,0.006343631215636672
8.908465385437012,0.212698295712471,0.006903761655793167
8.951709747314453,0.21164220571517944,0.007923430380838844
8.970558166503906,0.21208778023719788,0.0062598499982028325
9.013802528381348,0.20890045166015625,0.006822940788252525
9.0326509475708,0.2098611295223236,0.006871182794832342
9.075894355773926,0.20097364485263824,0.0067215799481967035
9.094742774963379,0.20469631254673004,0.0067719926166527975
9.13798713684082,0.2066928744316101,0.006383498178898463
9.156835556030273,0.20757724344730377,0.006342207265613447
9.200079917907715,0.20007692277431488,0.006260637826931054
9.218928337097168,0.20132604241371155,0.006237735246064873
9.26217269897461,0.19666512310504913,0.006224594524946987
9.281020164489746,0.19733288884162903,0.006272073979155539
9.324264526367188,0.19485148787498474,0.006533945898153733
9.34311294555664,0.19599062204360962,0.006660976504987838
9.386357307434082,0.1912747174501419,0.0062397183430023505
9.405205726623535,0.19087068736553192,0.006414403557619368
9.448450088500977,0.1832098811864853,0.006156323090936666
9.467299461364746,0.19105026125907898,0.006620227564064547
9.510542869567871,0.18236702680587769,0.00627963836538379
9.529391288757324,0.18432317674160004,0.006371666344057887
9.572635650634766,0.1840033233165741,0.007208890691361606
9.591484069824219,0.18480464816093445,0.007306015398286538
9.634729385375977,0.17962412536144257,0.006887151588283795
9.653576850891113,0.17959606647491455,0.006992115273649313
9.696822166442871,0.17953209578990936,0.00678812463055887
9.715669631958008,0.17951525747776031,0.006861894053393713
9.758914947509766,0.17587563395500183,0.0058155180336750744
9.777762413024902,0.17627406120300293,0.005885821353048357
9.82100772857666,0.17718760669231415,0.005921693423337618
9.839856147766113,0.1724705845117569,0.0058733235906086425
9.883101463317871,0.17398345470428467,0.005963490588573105
9.901948928833008,0.1699947863817215,0.007047037462650528
9.945194244384766,0.17467814683914185,0.005966840118521695
9.964041709899902,0.17316527664661407,0.005723896662239807
10.00728702545166,0.16594889760017395,0.006497675276589312
10.026135444641113,0.17005540430545807,0.0058132933867129045
10.069380760192871,0.16561220586299896,0.006369224835095712
10.088228225708008,0.16650107502937317,0.005634170568948015
10.131473541259766,0.1680184155702591,0.005722056448515691
10.150321960449219,0.16380193829536438,0.00550805682614114
10.193567276000977,0.16465824842453003,0.006521267361487336
10.212414741516113,0.1634652465581894,0.005534666024251148
10.255661010742188,0.16561107337474823,0.0056370808048137825
10.274508476257324,0.16596685349941254,0.0057166284644010225
10.317753791809082,0.16293999552726746,0.005745748863290145
10.336602210998535,0.1652856171131134,0.005870656011043399
10.379847526550293,0.16282328963279724,0.00571949735553746
10.39869499206543,0.1574137955904007,0.006403838380221662
10.441941261291504,0.15276411175727844,0.007362937796830828
10.46078872680664,0.15461814403533936,0.007231138430427121
10.504034996032715,0.1565619856119156,0.006029695929315175
10.522882461547852,0.15436787903308868,0.006656847902723931
10.56612777709961,0.15416698157787323,0.005743319249353983
10.584976196289062,0.15895134210586548,0.00591161407739037
10.628222465515137,0.15510521829128265,0.005705772953772346
10.647069931030273,0.152226522564888,0.0069588804415652945
10.690315246582031,0.15258567035198212,0.0057210416009674326
10.709163665771484,0.149438738822937,0.006833603514983877
10.752408981323242,0.1451178938150406,0.006028374075984336
10.771257400512695,0.1468159258365631,0.006115678457865489
10.81450366973877,0.14744777977466583,0.005867818163508477
10.833351135253906,0.14865200221538544,0.005740330391188297
10.87659740447998,0.1445140838623047,0.006156485117337652
10.895444869995117,0.14551742374897003,0.00617855371426032
